firstname,lastname,email,username,phone,company,department,group,role,password,title,status,delete
John,Smith,john.smith@demoenterprise.com,john.smith,312-555-0101,Demo Enterprise LLC,IT,,,TempPass123!P@assword,System Administrator,1,
Sarah,Johnson,sarah.johnson@demoenterprise.com,sarah.johnson,312-555-0102,Demo Enterprise LLC,HR,,,TempPass123!P@assword,HR Manager,1,
Mike,Wilson,mike.wilson@demoenterprise.com,mike.wilson,312-555-0103,Demo Enterprise LLC,Finance,,,TempPass123!P@assword,Financial Analyst,1,
Lisa,Brown,lisa.brown@demoenterprise.com,lisa.brown,312-555-0104,Demo Enterprise LLC,IT,,,TempPass123!P@assword,Security Analyst,1,
David,Davis,david.davis@demoenterprise.com,david.davis,312-555-0105,Demo Enterprise LLC,Operations,,,TempPass123!P@assword,Operations Manager,1,
Jennifer,Garcia,jennifer.garcia@demoenterprise.com,jennifer.garcia,312-555-0106,Demo Enterprise LLC,Marketing,,,TempPass123!P@assword,Marketing Coordinator,1,
Robert,Miller,robert.miller@demoenterprise.com,robert.miller,312-555-0107,Demo Enterprise LLC,IT,,,TempPass123!P@assword,Network Engineer,1,
Emily,Anderson,emily.anderson@demoenterprise.com,emily.anderson,312-555-0108,Demo Enterprise LLC,HR,,,TempPass123!P@assword,Recruiter,1,
Michael,Taylor,michael.taylor@demoenterprise.com,michael.taylor,312-555-0109,Demo Enterprise LLC,Finance,,,TempPass123!P@assword,Accountant,1,
Amanda,Thomas,amanda.thomas@demoenterprise.com,amanda.thomas,312-555-0110,Demo Enterprise LLC,Operations,,,TempPass123!P@assword,Project Manager,1,
Kevin,Rodriguez,kevin.rodriguez@demoenterprise.com,kevin.rodriguez,312-555-0111,Demo Enterprise LLC,IT,,,TempPass123!P@assword,Help Desk Technician,1,
Rachel,Martinez,rachel.martinez@demoenterprise.com,rachel.martinez,312-555-0112,Demo Enterprise LLC,Marketing,,,TempPass123!P@assword,Digital Marketing Specialist,1,
Christopher,Lee,christopher.lee@demoenterprise.com,christopher.lee,312-555-0113,Demo Enterprise LLC,Finance,,,TempPass123!P@assword,Budget Analyst,1,
Nicole,White,nicole.white@demoenterprise.com,nicole.white,312-555-0114,Demo Enterprise LLC,HR,,,TempPass123!P@assword,Benefits Coordinator,1,
James,Thompson,james.thompson@demoenterprise.com,james.thompson,312-555-0115,Demo Enterprise LLC,Operations,,,TempPass123!P@assword,Supply Chain Coordinator,1,
Ashley,Jackson,ashley.jackson@demoenterprise.com,ashley.jackson,312-555-0116,Demo Enterprise LLC,IT,,,TempPass123!P@assword,Database Administrator,1,
Daniel,Harris,daniel.harris@demoenterprise.com,daniel.harris,312-555-0117,Demo Enterprise LLC,Marketing,,,TempPass123!P@assword,Content Creator,1,
Michelle,Clark,michelle.clark@demoenterprise.com,michelle.clark,312-555-0118,Demo Enterprise LLC,Finance,,,TempPass123!P@assword,Financial Controller,1,
Ryan,Lewis,ryan.lewis@demoenterprise.com,ryan.lewis,312-555-0119,Demo Enterprise LLC,HR,,,TempPass123!P@assword,Training Specialist,1,
Stephanie,Walker,stephanie.walker@demoenterprise.com,stephanie.walker,312-555-0120,Demo Enterprise LLC,Operations,,,TempPass123!P@assword,Quality Assurance Manager,1,
,,,,,,,,,TempPass123!P@assword,,,
